"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BGM00041923","TEJGAON, BG","2024-03-16","0.09","83","94",
"BGM00041923","TEJGAON, BG","2024-03-17",,"80","93","72"
"BGM00041923","TEJGAON, BG","2024-03-18","0.00","83","92","76"
"BGM00041923","TEJGAON, BG","2024-03-19","0.48","80","94",
"BGM00041923","TEJGAON, BG","2024-03-20","0.17","74",,"70"
"BGM00041923","TEJGAON, BG","2024-03-21","0.67","72","80",
"BGM00041923","TEJGAON, BG","2024-03-22","0.00","75","85","65"
"BGM00041923","TEJGAON, BG","2024-03-23","1.10","79","89","68"
"BGM00041923","TEJGAON, BG","2024-03-24","0.34","76","91","68"
"BGM00041923","TEJGAON, BG","2024-03-25","0.00","82","92","70"
"BGM00041923","TEJGAON, BG","2024-03-26","0.00","81",,"72"
"BGM00041923","TEJGAON, BG","2024-03-27","0.02","86",,
"BGM00041923","TEJGAON, BG","2024-04-03",,"88",,"81"
"BGM00041923","TEJGAON, BG","2024-04-04","0.00","89","96","81"
"BGM00041923","TEJGAON, BG","2024-04-10","0.00","86",,
"BGM00041923","TEJGAON, BG","2024-04-11","0.00","87","97","77"
"BGM00041923","TEJGAON, BG","2024-04-12","0.00","88",,"80"
"BGM00041923","TEJGAON, BG","2024-04-13","0.00","89","100","78"
"BGM00041923","TEJGAON, BG","2024-04-14","0.00","89","99","80"
"BGM00041923","TEJGAON, BG","2024-04-15","0.00","90","100","81"
"BGM00041923","TEJGAON, BG","2024-04-16","0.46","87",,
"BGM00041923","TEJGAON, BG","2024-04-17","0.29","86",,"76"
"BGM00041923","TEJGAON, BG","2024-04-18","0.01","89",,"79"
"BGM00041923","TEJGAON, BG","2024-04-19","0.00","90","101","82"
"BGM00041923","TEJGAON, BG","2024-04-20","0.00","92",,"83"
"BGM00041923","TEJGAON, BG","2024-04-21","0.00","91",,"84"
"BGM00041923","TEJGAON, BG","2024-04-22","0.00","91","100","85"
"BGM00041923","TEJGAON, BG","2024-04-23","0.00","92","101","83"
"BGM00041923","TEJGAON, BG","2024-04-24","0.00","93","103","83"
"BGM00041923","TEJGAON, BG","2024-04-25","0.00","92",,"83"
"BGM00041923","TEJGAON, BG","2024-04-26","0.00","91",,"83"
"BGM00041923","TEJGAON, BG","2024-04-27","0.00","91",,"83"
"BGM00041923","TEJGAON, BG","2024-04-28","0.00","92",,"84"
"BGM00041923","TEJGAON, BG","2024-04-29","0.00","93","105","85"
"BGM00041923","TEJGAON, BG","2024-04-30","0.00","92","101","84"
"BGM00041923","TEJGAON, BG","2024-05-02","0.38","91",,
"BGM00041923","TEJGAON, BG","2024-05-03",,"89","101","77"
"BGM00041923","TEJGAON, BG","2024-05-04","0.00","90","98","84"
"BGM00041923","TEJGAON, BG","2024-05-05","1.42","86","98",
"BGM00041923","TEJGAON, BG","2024-05-06","0.07","78","86","70"
"BGM00041923","TEJGAON, BG","2024-05-07",,"83",,"72"
"BGM00041923","TEJGAON, BG","2024-05-08","0.48","80",,"72"
"BGM00041923","TEJGAON, BG","2024-05-09","0.02","83","94","74"
"BGM00041923","TEJGAON, BG","2024-05-10","0.00","86","95","77"
"BGM00041923","TEJGAON, BG","2024-05-11","3.43","81","89","70"
"BGM00041923","TEJGAON, BG","2024-05-12","0.00","83",,"72"
"BGM00041923","TEJGAON, BG","2024-05-13","0.18","85",,"77"
"BGM00041923","TEJGAON, BG","2024-05-14","0.00","89",,"81"
"BGM00041923","TEJGAON, BG","2024-05-15","0.00","90","97","82"
"BGM00041923","TEJGAON, BG","2024-05-16","0.00","92",,"84"
"BGM00041923","TEJGAON, BG","2024-05-17","0.00","91",,"85"
"BGM00041923","TEJGAON, BG","2024-05-18","0.03","83","89",
"BGM00041923","TEJGAON, BG","2024-05-19","0.00","86","96","79"
"BGM00041923","TEJGAON, BG","2024-05-20","0.00","84",,"79"
"BGM00041923","TEJGAON, BG","2024-05-21","0.00","89","98","78"
"BGM00041923","TEJGAON, BG","2024-05-22","0.17","88",,"78"
"BGM00041923","TEJGAON, BG","2024-05-23","0.03","89","100","82"
"BGM00041923","TEJGAON, BG","2024-05-24","0.00","92","102","82"
"BGM00041923","TEJGAON, BG","2024-05-25","0.02","91",,
"BGM00041923","TEJGAON, BG","2024-05-26","0.13","86",,"81"
"BGM00041923","TEJGAON, BG","2024-05-27","8.89","79","81",
"BGM00041923","TEJGAON, BG","2024-05-28","0.24","86","94","77"
"BGM00041923","TEJGAON, BG","2024-05-29","0.00","89","93","78"
"BGM00041923","TEJGAON, BG","2024-05-30","0.00","89",,"86"
"BGM00041923","TEJGAON, BG","2024-05-31","0.00","86","91",
"BGM00041923","TEJGAON, BG","2024-06-03","0.02","88","97",
"BGM00041923","TEJGAON, BG","2024-06-04","0.00","87","97",
"BGM00041923","TEJGAON, BG","2024-06-05","0.04","89",,"81"
"BGM00041923","TEJGAON, BG","2024-06-06",,"87","94","78"
"BGM00041923","TEJGAON, BG","2024-06-07","0.34","86","96",
"BGM00041923","TEJGAON, BG","2024-06-08","0.02","89",,"79"
"BGM00041923","TEJGAON, BG","2024-06-09","0.00","88","92","85"
"BGM00041923","TEJGAON, BG","2024-06-10","0.04","85",,"79"
"BGM00041923","TEJGAON, BG","2024-06-11","0.00","91","98","80"
"BGM00041923","TEJGAON, BG","2024-06-12","0.00","89","97","85"
"BGM00041923","TEJGAON, BG","2024-06-13","2.21","84","95",
"BGM00041923","TEJGAON, BG","2024-06-14","0.00","85","90","76"
"BGM00041923","TEJGAON, BG","2024-06-15","0.00","88",,"82"
"BGM00041923","TEJGAON, BG","2024-06-16","0.00","90",,"85"
