"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-03-16",,"81",,"70"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-03-17",,"82",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-03-18",,"82",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-03-19",,"84",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-03-20",,"89",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-03-21",,"89",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-03-22",,"84",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-03-23",,"83",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-03-24",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-03-25",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-03-26",,"85",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-03-27",,"85",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-01",,"81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-02",,"80",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-03",,"84",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-04",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-05",,"87",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-06",,"90",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-07",,"86",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-08",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-09",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-10",,"84",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-11",,"85",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-12",,"84",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-13",,"83",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-14",,"85",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-15",,"91",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-16",,"93",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-17",,"86",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-18",,"89",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-19",,"87","95","81"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-20",,"88","96","81"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-21",,"87",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-22","0.00","88",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-23",,"87",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-24",,"87",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-25",,"87",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-26",,"89",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-27",,"91",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-28",,"94",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-29",,"94",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-04-30",,"92",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-01",,"81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-02",,"85",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-03",,"85",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-04",,"86",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-05",,"87",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-06",,"86",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-07",,"87",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-08",,"86","92","80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-09",,"86",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-10",,"86",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-11",,"87",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-12",,"88",,"82"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-13",,"86",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-14",,"90",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-15",,"90",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-16",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-17","0.00","90",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-18",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-19",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-20",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-21",,"90",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-22",,"89",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-23",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-24",,"89",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-25",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-26",,"89",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-27",,"88",,"86"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-28",,"88",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-29",,"89",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-30",,"89",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-05-31",,"90",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-01",,"90",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-02",,"90",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-03",,"90",,"86"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-04",,"90",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-05","0.02","89",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-06","0.00","89",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-07",,"89",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-08",,"89",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-09","0.79","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-10","2.72","82",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-11","0.59","84",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-12","0.35","86","93",
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-13","0.00","85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-14","0.43","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-15","0.16","85",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-16","0.00","86",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-17","0.01","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-18","0.00","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-19","0.79","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-20","0.71","84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-21","0.16","85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-22","0.35","84",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-23","0.59","85",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-24","0.28","84",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-25","0.01","86",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-26","0.28","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-27","0.55","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-28","2.60","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-29","1.30","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-06-30","0.98","84",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-01","0.35","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-02","2.05","86",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-03","0.03","86",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-04","0.08","85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-05","0.55","84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-06","0.75","85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-07","0.94","83","91","77"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-08","10.55","79",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-09","6.06","79",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-10","0.16","80",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-11","0.75","78",,
"IN012070800","BOMBAY SANTACRUZ, IN","2024-07-12","4.57","79",,"75"
